,magnitude median,magnitude mean
0,2.567251682281494,7.048215866088867
1,8.757378964219242e-06,0.005301304627209902
2,3.0191006660461426,7.549615383148193
3,2.3275110721588135,7.235855579376221
4,2.0991547107696533,7.074337005615234
5,7.005573934293352e-06,0.0048662833869457245
6,0.0,6.16202742094174e-05
7,0.0,5.725786468246952e-05
8,0.0,5.725786468246952e-05
9,0.0,5.725786468246952e-05
10,0.0,5.725786468246952e-05
11,0.0,5.725786468246952e-05
12,0.0,5.725786468246952e-05
13,0.0,6.209650746313855e-05
14,0.0,5.725615847040899e-05
15,0.0,5.725615847040899e-05
16,0.0,6.360039697028697e-05
17,0.0,5.7255627325503156e-05
18,0.0,5.7255627325503156e-05
19,4.19389533996582,7.542703628540039
20,1.2776358127593994,6.083827018737793
21,1.7419133186340332,7.239589691162109
22,2.3314500140259042e-05,0.009802852757275105
23,4.882597757637115e-15,9.35573480091989e-05
24,0.0,0.00013296275574248284
25,0.0,4.5405231503536925e-05
26,0.0,4.5405231503536925e-05
27,0.0,4.5405231503536925e-05
28,0.0,4.5405231503536925e-05
29,0.0,4.715543400379829e-05
30,0.0,4.5411772589432076e-05
31,0.0,4.9572456191526726e-05
32,0.0,0.08627849817276001
33,0.0,9.110109385801479e-05
34,0.0,4.099584839423187e-05
35,0.0,4.099584839423187e-05
36,0.0,4.099584839423187e-05
37,0.0,4.099584839423187e-05
38,0.0,4.099584839423187e-05
39,0.0,4.099584839423187e-05
40,0.0,4.099584839423187e-05
41,0.0,4.099584839423187e-05
42,0.0,4.099584839423187e-05
43,0.0,4.099584839423187e-05
44,0.0,4.099584839423187e-05
45,0.0,4.099584839423187e-05
46,0.0,4.099584839423187e-05
47,0.0,4.099584839423187e-05
48,0.0,4.099584839423187e-05
49,0.0,4.099584839423187e-05
50,0.0,4.099584839423187e-05
51,0.0,4.099584839423187e-05
52,0.0,4.099584839423187e-05
53,0.0,4.099584839423187e-05
54,0.0,4.099584839423187e-05
55,0.0,0.001235116389580071
56,0.0,4.1011542634805664e-05
57,0.0,4.1011542634805664e-05
58,0.0,4.1011542634805664e-05
59,0.0,4.1011542634805664e-05
60,0.0,4.1011542634805664e-05
61,0.0,4.1011542634805664e-05
62,0.0,4.1011542634805664e-05
63,0.0,4.1011542634805664e-05
64,0.0,4.1011542634805664e-05
65,0.0,4.1011542634805664e-05
66,0.0,4.1011542634805664e-05
67,0.0,4.1011542634805664e-05
68,0.0,4.1011542634805664e-05
69,0.0,4.1011542634805664e-05
70,0.0,4.1011542634805664e-05
71,0.0,4.1011542634805664e-05
72,1.1291029295534827e-05,0.017292290925979614
73,2.2487181006169976e-09,8.103985601337627e-05
74,0.0,5.3234594815876335e-05
75,0.0,5.3234594815876335e-05
76,0.0,0.0011736516607925296
77,0.0,5.320172567735426e-05
78,4.130712985992432,8.120630264282227
79,3.0126142501831055,7.574876308441162
80,1.5379703044891357,7.754879474639893
81,2.074657440185547,8.03952693939209
82,6.98368376106373e-06,0.006489133462309837
83,4.76562144593498e-20,3.378720430191606e-05
84,0.0,3.283515980001539e-05
85,0.0,3.283515980001539e-05
86,0.0,3.283515980001539e-05
87,0.0,3.283515980001539e-05
88,0.0,3.283515980001539e-05
89,0.0,3.283515980001539e-05
90,0.0,3.283515980001539e-05
91,0.0,3.283515980001539e-05
92,0.0,3.283515980001539e-05
93,0.0,3.283515980001539e-05
94,0.0,3.283515980001539e-05
95,0.0,3.283515980001539e-05
96,0.0,3.283515980001539e-05
97,0.0,3.283515980001539e-05
98,0.0,3.283515980001539e-05
99,0.0,3.283515980001539e-05
100,0.0,3.283515980001539e-05
101,0.0,3.283515980001539e-05
102,0.0,3.283515980001539e-05
103,0.0,3.283515980001539e-05
104,0.0,3.283515980001539e-05
105,0.0,3.283515980001539e-05
106,0.0,3.283515980001539e-05
107,0.0,3.283515980001539e-05
108,0.0,3.283515980001539e-05
109,5.3578691482543945,9.445825576782227
110,0.0,6.0868831496918574e-05
111,1.2193777561187744,6.12832498550415
112,2.2543063163757324,9.037940979003906
113,2.3636293917661533e-05,0.00999829825013876
114,0.30205094814300537,3.3681087493896484
115,3.2873010635375977,8.765876770019531
116,1.8949487639474683e-05,0.010142313316464424
117,2.350783348083496,8.10642147064209
118,1.0283429219271056e-05,0.00657661072909832
119,2.320755958557129,8.333063125610352
120,3.354280471801758,8.871050834655762
121,1.2107328984711785e-05,0.007911192253232002
122,2.301077365875244,7.459505081176758
123,0.9849593639373779,3.8282952308654785
124,3.124208927154541,8.508400917053223
125,1.8324339180253446e-05,0.008950946852564812
126,4.008123874664307,9.02148723602295
127,2.7319507598876953,7.6956048011779785
128,2.857175827026367,7.656418800354004
129,3.1240036487579346,8.217971801757812
130,3.138302803039551,7.5667009353637695
131,1.505183219909668,4.950749397277832
132,3.135857105255127,8.314047813415527
133,4.449029074748978e-05,0.011333196423947811
134,3.0752296447753906,8.308154106140137
135,1.7323633073829114e-05,0.008419753052294254
136,3.214578151702881,8.448637008666992
137,3.2220373153686523,8.349767684936523
138,3.1517555713653564,8.374702453613281
139,2.7389729022979736,7.503941059112549
140,1.072253053280292e-05,0.0066291894763708115
141,3.6135094165802,8.587892532348633
142,4.213883399963379,9.371197700500488
143,2.996908664703369,7.143687725067139
144,0.00018042844021692872,0.01404450461268425
145,3.3713650703430176,7.594638824462891
146,5.050887107849121,9.884408950805664
147,3.506342887878418,8.570674896240234
148,1.6181262731552124,4.968729019165039
149,3.338503837585449,8.754640579223633
150,3.768129825592041,8.934684753417969
151,1.2686941772699356e-05,0.008098965510725975
152,2.852468490600586,7.808489799499512
153,3.114551067352295,8.282220840454102
154,2.7356021404266357,8.133925437927246
155,3.5764846801757812,8.819618225097656
156,3.5740363597869873,8.31812572479248
157,4.360621452331543,8.661947250366211
158,4.0327372550964355,8.658345222473145
159,1.1262261978117749e-05,0.006802983116358519
160,4.09974479675293,8.779908180236816
161,3.7301087379455566,8.155477523803711
162,3.7552523612976074,8.099245071411133
163,1.890376329421997,4.9262590408325195
164,5.302536964416504,9.897150039672852
165,4.263986587524414,8.847733497619629
166,4.375540733337402,9.030900001525879
167,4.088452339172363,8.522127151489258
168,4.333645820617676,8.753152847290039
169,4.383427619934082,8.719711303710938
170,1.1594664101721719e-05,0.007066791411489248
171,4.166594505310059,8.91853141784668
172,4.173480987548828,8.911858558654785
173,4.012234687805176,8.61794376373291
174,5.096951484680176,9.786103248596191
175,1.5101917597348802e-05,0.00835547037422657
176,4.4072465896606445,9.864620208740234
177,1.8427090253680944e-05,0.009323207661509514
178,3.180192470550537,8.780282974243164
179,3.3075942993164062,8.880555152893066
180,3.8047399520874023,9.2652587890625
181,2.1255576610565186,7.6155571937561035
182,1.3650249242782593,4.366893291473389
183,9.97699680738151e-06,0.006553635001182556
184,3.8178985118865967,9.28109073638916
185,4.099455833435059,9.164630889892578
186,3.1021831035614014,7.55530309677124
187,2.7579102516174316,8.363937377929688
188,3.269219398498535,8.437517166137695
189,3.915506601333618,8.409894943237305
190,2.6549506187438965,8.018155097961426
191,3.2082161903381348,8.306983947753906
192,3.1398074626922607,8.216682434082031
193,1.0463476428412832e-05,0.007131482940167189
194,3.524712085723877,8.239171028137207
195,3.4571619033813477,8.18337345123291
196,2.74760103225708,8.106411933898926
197,4.687005519866943,8.887600898742676
198,2.9362027645111084,7.790224075317383
199,3.034641742706299,8.038028717041016
200,2.764451503753662,7.777547359466553
201,1.1832751624751836e-05,0.00765374768525362
202,4.254027366638184,8.436030387878418
203,3.5391879081726074,9.276884078979492
204,1.3592578397947364e-05,0.008796710520982742
205,2.92987060546875,8.725842475891113
206,4.6440582275390625,9.0604248046875
207,1.1807706356048584,3.909085512161255
208,3.204380512237549,8.192503929138184
209,2.548768997192383,8.033553123474121
210,2.57241153717041,8.119245529174805
211,3.9468162059783936,9.480027198791504
212,2.3383914594887756e-05,0.01104801706969738
213,3.614682674407959,9.472949981689453
214,1.3998258509673178e-05,0.009075483307242393
215,2.7725136280059814,8.248466491699219
216,2.938380718231201,8.290450096130371
217,3.4305553436279297,8.672972679138184
218,3.5779826641082764,9.106053352355957
219,3.505183696746826,10.346158027648926
